shipment_id,order_id,supplier_id,warehouse_id,product_id,shipped_date,delivered_date,shipment_status,carrier,shipped_qty
SH00000034,O0006055,S0024,W02,P00297,2025-12-28,2026-01-20,delivered,UPS,11
SH00000035,O0001112,S0112,W08,P00696,2025-09-02,2025-09-21,delayed,Maersk,13
SH00000036,O0009433,S0051,W04,P00221,2026-01-22,2026-02-12,delivered,XPO,7
SH00000037,O0002962,S0162,W07,P00776,2025-12-26,2026-01-08,delivered,UPS,5
SH00000038,O0005187,S0030,W01,P00174,2025-08-25,2025-09-11,delayed,USPS,7
SH00000039,O0017587,S0097,W06,P00752,2025-11-18,2025-11-24,delivered,FedEx,17
SH00000040,O0003685,S0085,W04,P00159,2025-10-22,2025-11-13,delivered,USPS,12
SH00000041,O0000633,S0115,W02,P00104,2025-12-26,2026-01-04,delivered,USPS,10
SH00000042,O0011654,S0167,W07,P00491,2025-10-23,2025-11-07,delivered,UPS,20
SH00000043,O0009695,S0193,W05,P00759,2026-02-04,2026-02-22,delivered,UPS,15
SH00000044,O0015729,S0183,W07,P00395,2025-10-15,2025-10-18,delivered,FedEx,13
SH00000045,O0016384,S0052,W03,P00463,2026-02-07,2026-02-25,delivered,DHL,22
SH00000046,O0000723,S0036,W08,P00632,2025-09-30,2025-10-24,delivered,FedEx,8
SH00000047,O0001420,S0135,W01,P00418,2025-12-17,2026-01-04,delivered,Maersk,7
SH00000048,O0009736,S0175,W05,P00746,2025-10-13,2025-10-29,delivered,XPO,20
SH00000049,O0008785,S0002,W02,P00053,2025-10-17,2025-10-30,delivered,FedEx,2
SH00000050,O0012703,S0151,W08,P00219,2025-12-28,2026-01-19,delivered,DHL,18
SH00000051,O0006496,S0151,W05,P00255,2026-01-27,2026-02-22,delivered,Maersk,11
SH00000052,O0011361,S0061,W02,P00204,2025-09-18,2025-10-13,delayed,USPS,12
SH00000053,O0004547,S0027,W03,P00724,2026-02-04,2026-02-28,delivered,FedEx,12
SH00000054,O0009003,S0062,W05,P00135,2025-10-22,2025-11-01,delivered,DHL,8
SH00000055,O0000539,S0022,W03,P00062,2025-09-11,2025-09-30,delivered,FedEx,10
SH00000056,O0008684,S0070,W05,P00045,2025-10-19,2025-10-29,delivered,FedEx,8
SH00000057,O0010498,S0185,W01,P00014,2025-11-16,2025-12-11,delivered,UPS,8
SH00000058,O0004595,S0179,W06,P00187,2026-02-03,2026-02-19,delivered,USPS,9
SH00000059,O0013861,S0150,W02,P00214,2026-01-19,2026-02-01,delayed,XPO,10
SH00000060,O0003390,S0114,W08,P00130,2025-09-27,2025-10-14,delivered,UPS,25
SH00000061,O0012730,S0182,W06,P00771,2025-11-28,2025-12-03,delivered,DHL,18
SH00000062,O0002067,S0198,W01,P00424,2025-12-19,2026-01-09,delivered,FedEx,30
SH00000063,O0003687,S0135,W05,P00418,2025-09-29,2025-10-21,delayed,XPO,10
SH00000064,O0014794,S0153,W02,P00785,2025-11-26,2025-12-06,delivered,USPS,14
SH00000065,O0006558,S0129,W05,P00684,2026-01-30,2026-02-19,delivered,Maersk,6
SH00000066,O0003582,S0111,W03,P00291,2025-10-29,2025-11-20,delivered,USPS,16
SH00000067,O0015055,S0094,W06,P00744,2025-10-23,2025-11-02,delivered,DHL,24
SH00000068,O0001459,S0118,W07,P00281,2025-12-04,,cancelled,Maersk,13
SH00000069,O0007996,S0116,W08,P00713,2026-02-09,2026-02-27,delivered,Maersk,12
SH00000070,O0008119,S0146,W06,P00580,2025-11-08,2025-11-24,delivered,UPS,11
SH00000071,O0012886,S0151,W08,P00268,2025-11-16,2025-12-07,delivered,FedEx,6
SH00000072,O0007147,S0110,W05,P00582,2025-09-24,2025-09-29,delivered,DHL,5
SH00000073,O0016352,S0198,W06,P00051,2025-11-16,2025-12-04,delivered,XPO,13
SH00000074,O0000157,S0030,W07,P00790,2025-08-16,2025-09-03,delivered,XPO,10
SH00000075,O0011959,S0097,W04,P00314,2025-11-09,2025-11-21,delivered,Maersk,2
SH00000076,O0012349,S0121,W01,P00388,2025-09-08,2025-09-25,delayed,Maersk,16
SH00000077,O0010356,S0163,W02,P00089,2026-02-05,2026-02-16,delivered,UPS,12
SH00000078,O0017284,S0073,W05,P00396,2025-10-04,,cancelled,FedEx,13
SH00000079,O0016280,S0148,W08,P00153,2025-10-17,2025-11-15,delivered,DHL,20
SH00000080,O0011706,S0009,W07,P00538,2025-11-14,2025-12-04,delivered,UPS,17
SH00000081,O0009120,S0181,W08,P00190,2025-11-24,2025-12-03,delivered,DHL,13
SH00000082,O0010324,S0061,W04,P00635,2025-12-04,2025-12-28,delivered,XPO,7
SH00000083,O0005575,S0171,W04,P00216,2025-12-18,,in_transit,Maersk,9
SH00000084,O0001105,S0177,W07,P00220,2025-11-20,2025-11-28,delivered,XPO,5
SH00000085,O0000815,S0193,W03,P00096,2025-12-14,2025-12-30,delivered,FedEx,21
SH00000086,O0017786,S0022,W02,P00101,2025-11-24,2025-12-13,delivered,Maersk,20
SH00000087,O0001146,S0173,W05,P00607,2025-10-14,2025-10-21,delivered,USPS,10
SH00000088,O0007422,S0077,W04,P00637,2026-02-02,2026-02-09,delivered,FedEx,13
SH00000089,O0013070,S0172,W05,P00675,2025-12-26,2026-01-02,delivered,DHL,10
SH00000090,O0018079,S0174,W03,P00322,2026-01-20,2026-02-03,delivered,Maersk,5
SH00000091,O0010364,S0059,W01,P00667,2026-02-06,2026-02-28,delivered,FedEx,5
SH00000092,O0004884,S0057,W01,P00228,2025-12-20,,in_transit,UPS,17
SH00000093,O0000735,S0123,W02,P00740,2025-12-09,2025-12-29,delivered,USPS,7
SH00000094,O0015589,S0036,W03,P00046,2025-09-15,2025-10-07,delivered,FedEx,15
SH00000095,O0001562,S0061,W03,P00204,2025-08-22,2025-09-16,delivered,USPS,5
SH00000096,O0011188,S0046,W03,P00685,2025-11-13,2025-11-26,delivered,DHL,16
SH00000097,O0007610,S0005,W02,P00703,2025-11-22,2025-12-17,delivered,USPS,7
SH00000098,O0014569,S0129,W05,P00684,2025-12-10,2025-12-30,delivered,FedEx,10
SH00000099,O0010987,S0116,W07,P00399,2025-10-10,2025-11-05,delayed,USPS,3
SH00000100,O0005469,S0143,W06,P00794,2025-10-26,2025-11-20,delivered,Maersk,1
SH00000101,O0019165,S0026,W03,P00403,2025-08-26,2025-09-23,delivered,USPS,17
SH00000102,O0011141,S0057,W01,P00761,2026-01-22,2026-01-30,delivered,FedEx,1
SH00000103,O0015671,S0091,W05,P00109,2025-09-10,2025-10-05,delivered,DHL,6
SH00000104,O0017044,S0037,W06,P00240,2025-10-11,2025-10-22,delivered,FedEx,5
SH00000105,O0017182,S0038,W01,P00210,2025-11-10,2025-11-25,delivered,Maersk,19
SH00000106,O0018150,S0180,W08,P00147,2025-09-23,2025-10-07,delivered,DHL,22
SH00000107,O0011326,S0074,W07,P00217,2025-11-20,2025-11-30,delivered,FedEx,13
SH00000108,O0013369,S0118,W03,P00671,2026-02-02,2026-02-23,delivered,XPO,9
SH00000109,O0010624,S0149,W06,P00232,2026-02-01,2026-02-19,delivered,Maersk,19
SH00000110,O0000202,S0091,W02,P00109,2026-01-13,2026-02-04,delivered,UPS,15
SH00000111,O0011158,S0170,W04,P00636,2026-01-29,2026-02-03,delivered,UPS,8
SH00000112,O0013414,S0177,W06,P00103,2025-12-02,,in_transit,USPS,20
SH00000113,O0016658,S0042,W05,P00529,2026-01-14,2026-01-22,delivered,Maersk,14
SH00000114,O0005780,S0139,W08,P00611,2026-01-18,2026-01-26,delivered,XPO,2
SH00000115,O0011724,S0019,W03,P00218,2025-11-18,2025-12-02,delivered,XPO,4
SH00000116,O0018996,S0143,W05,P00035,2025-12-02,2025-12-24,delivered,UPS,9
SH00000117,O0016275,S0173,W01,P00607,2025-10-03,,in_transit,XPO,6
SH00000118,O0013844,S0105,W08,P00799,2025-11-16,2025-11-24,delivered,USPS,14
SH00000119,O0003900,S0188,W05,P00091,2025-11-23,2025-11-30,delivered,USPS,7
SH00000120,O0000466,S0185,W07,P00535,2026-02-05,2026-03-10,delayed,Maersk,11
SH00000121,O0017554,S0157,W03,P00473,2025-12-03,,in_transit,USPS,18
SH00000122,O0015440,S0083,W01,P00567,2025-09-03,2025-10-01,delivered,UPS,10
SH00000123,O0008073,S0029,W04,P00410,2025-11-15,2025-11-30,delivered,UPS,8
SH00000124,O0015011,S0015,W02,P00645,2026-01-10,2026-01-23,delivered,DHL,13
SH00000125,O0005042,S0113,W05,P00738,2025-12-14,2025-12-21,delivered,FedEx,4
SH00000126,O0001939,S0163,W07,P00249,2025-09-22,,in_transit,XPO,11
SH00000127,O0001799,S0022,W05,P00439,2025-10-29,2025-11-12,delivered,FedEx,1
SH00000128,O0014875,S0102,W06,P00080,2026-01-09,2026-01-30,delivered,UPS,4
SH00000129,O0000806,S0026,W06,P00563,2026-01-01,2026-02-04,delivered,Maersk,7
SH00000130,O0014398,S0035,W07,P00593,2025-09-20,2025-10-14,delivered,XPO,19
SH00000131,O0018672,S0107,W05,P00533,2025-09-28,2025-09-30,delivered,USPS,9
SH00000132,O0004932,S0198,W06,P00763,2026-01-24,2026-02-13,delivered,FedEx,5
SH00000133,O0001013,S0176,W02,P00083,2025-12-10,2025-12-30,delivered,FedEx,6
SH00000134,O0014074,S0145,W02,P00758,2025-11-02,,in_transit,FedEx,20
SH00000135,O0017639,S0147,W04,P00456,2025-10-28,,in_transit,DHL,18
SH00000136,O0003356,S0043,W05,P00237,2025-10-18,2025-11-02,delivered,UPS,21
SH00000137,O0019739,S0024,W06,P00025,2025-11-29,2025-12-21,delivered,XPO,17
SH00000138,O0000494,S0023,W01,P00162,2025-10-16,2025-10-30,delivered,DHL,7
SH00000139,O0001221,S0085,W04,P00269,2025-12-11,2025-12-28,delivered,FedEx,11
SH00000140,O0011299,S0079,W06,P00106,2025-09-10,2025-09-26,delivered,USPS,14
SH00000141,O0013098,S0033,W05,P00521,2025-09-07,2025-09-16,delivered,XPO,6
SH00000142,O0010578,S0162,W02,P00776,2025-10-17,2025-10-28,delivered,FedEx,13
SH00000143,O0000062,S0137,W07,P00085,2025-12-01,2025-12-08,delivered,DHL,2
SH00000144,O0016724,S0198,W08,P00051,2025-08-20,2025-09-13,delivered,Maersk,14
SH00000145,O0006063,S0095,W02,P00592,2025-11-21,2025-11-29,delivered,USPS,17
SH00000146,O0008512,S0160,W01,P00520,2025-09-04,2025-10-01,delivered,UPS,8
SH00000147,O0015750,S0096,W07,P00614,2025-10-02,2025-10-16,delivered,DHL,6
SH00000148,O0011456,S0083,W01,P00360,2025-12-08,,in_transit,XPO,18
SH00000149,O0005947,S0180,W01,P00147,2026-01-26,2026-02-08,delivered,UPS,16
SH00000150,O0003575,S0050,W02,P00378,2026-01-29,2026-02-22,delivered,UPS,9
SH00000151,O0003348,S0121,W08,P00154,2025-12-08,2025-12-19,delivered,DHL,5
SH00000152,O0018382,S0187,W04,P00280,2025-12-16,2026-01-03,delivered,XPO,11
SH00000153,O0001194,S0129,W06,P00487,2025-09-23,2025-10-12,delivered,UPS,16
SH00000154,O0017470,S0159,W05,P00796,2026-02-03,2026-03-03,delivered,FedEx,10
SH00000155,O0008514,S0062,W08,P00643,2025-12-09,2025-12-22,delayed,Maersk,17
SH00000156,O0005552,S0169,W03,P00304,2026-02-10,2026-03-08,delayed,Maersk,2
SH00000157,O0006800,S0170,W04,P00319,2025-09-09,2025-09-12,delivered,FedEx,6
SH00000158,O0010630,S0074,W02,P00433,2026-01-24,2026-01-30,delivered,UPS,17
SH00000159,O0010136,S0135,W05,P00418,2025-11-05,2025-11-26,delivered,XPO,9
SH00000160,O0005251,S0033,W03,P00486,2026-02-06,,in_transit,Maersk,12
SH00000161,O0001195,S0120,W05,P00022,2025-11-19,2025-11-27,delivered,Maersk,4
SH00000162,O0016840,S0024,W01,P00264,2026-01-13,2026-02-11,delayed,DHL,11
SH00000163,O0013765,S0163,W02,P00089,2025-11-08,2025-11-20,delivered,UPS,3
SH00000164,O0009268,S0046,W06,P00685,2025-12-07,2025-12-20,delivered,XPO,14
SH00000165,O0017797,S0114,W02,P00207,2025-10-02,2025-10-24,delayed,Maersk,11
SH00000166,O0008425,S0034,W07,P00273,2026-01-28,2026-02-23,delivered,DHL,4
SH00000167,O0016861,S0039,W08,P00126,2025-09-07,2025-10-09,delayed,UPS,4
SH00000168,O0014111,S0052,W07,P00430,2025-11-24,2025-12-14,delivered,USPS,5
SH00000169,O0014997,S0066,W01,P00010,2026-02-06,2026-02-26,delivered,XPO,10
SH00000170,O0012859,S0082,W07,P00202,2025-11-14,2025-12-05,delayed,FedEx,3
SH00000171,O0006466,S0071,W05,P00353,2025-12-15,2025-12-26,delivered,UPS,17
SH00000172,O0015448,S0177,W02,P00551,2026-01-21,,in_transit,UPS,12
SH00000173,O0010413,S0026,W02,P00195,2025-12-04,2025-12-30,delivered,UPS,10
SH00000174,O0016613,S0066,W03,P00010,2025-09-14,2025-09-28,delivered,Maersk,2
SH00000175,O0019052,S0030,W04,P00239,2025-11-29,2025-12-12,delivered,Maersk,16
SH00000176,O0017918,S0146,W07,P00580,2025-09-06,2025-09-23,delivered,Maersk,1
SH00000177,O0016620,S0111,W02,P00514,2025-11-14,2025-12-19,delivered,Maersk,17
SH00000178,O0019628,S0170,W06,P00381,2025-09-10,2025-09-19,delivered,Maersk,12
SH00000179,O0004882,S0059,W08,P00205,2026-01-09,,cancelled,XPO,8
SH00000180,O0014058,S0051,W04,P00346,2025-11-17,2025-12-17,delayed,DHL,10
SH00000181,O0016090,S0199,W01,P00712,2025-12-14,2025-12-29,delivered,USPS,12
SH00000182,O0002750,S0163,W07,P00156,2025-11-08,2025-11-16,delivered,UPS,17
SH00000183,O0017440,S0019,W08,P00331,2025-10-30,2025-11-13,delivered,UPS,6
SH00000184,O0000429,S0158,W02,P00407,2025-12-12,,in_transit,UPS,10
SH00000185,O0008358,S0164,W01,P00561,2026-01-05,,in_transit,DHL,20
SH00000186,O0015232,S0177,W08,P00220,2025-11-21,,cancelled,USPS,14
SH00000187,O0009836,S0197,W01,P00568,2025-10-17,2025-10-27,delivered,Maersk,11
SH00000188,O0011385,S0200,W01,P00077,2025-10-04,2025-11-02,delivered,UPS,13
SH00000189,O0018466,S0145,W08,P00697,2025-09-05,2025-09-23,delayed,Maersk,2
SH00000190,O0007099,S0090,W08,P00371,2025-11-01,,in_transit,USPS,7
SH00000191,O0016615,S0156,W06,P00226,2025-12-08,2025-12-24,delivered,XPO,5
SH00000192,O0019235,S0016,W08,P00679,2026-01-16,2026-01-29,delivered,UPS,9
SH00000193,O0008278,S0112,W04,P00696,2025-12-04,2025-12-19,delivered,XPO,12
SH00000194,O0014951,S0159,W03,P00687,2026-02-03,2026-02-26,delivered,Maersk,20
SH00000195,O0003712,S0082,W01,P00741,2025-11-27,2025-12-16,delivered,USPS,9
SH00000196,O0000080,S0017,W04,P00048,2025-08-20,,in_transit,FedEx,10
SH00000197,O0013584,S0001,W07,P00182,2025-12-03,2025-12-30,delivered,Maersk,8
SH00000198,O0012005,S0185,W01,P00734,2025-08-29,2025-09-20,delivered,FedEx,11
SH00000199,O0009774,S0071,W08,P00114,2025-12-28,2026-01-10,delivered,Maersk,11
SH00000200,O0011149,S0095,W01,P00455,2025-11-17,2025-11-22,delivered,DHL,21
SH00000201,O0004251,S0094,W02,P00012,2025-11-23,2025-12-06,delivered,UPS,1
SH00000202,O0011833,S0074,W08,P00356,2025-10-23,2025-11-01,delivered,FedEx,9
SH00000203,O0012682,S0187,W05,P00280,2025-11-10,2025-11-29,delivered,DHL,14
SH00000204,O0008101,S0036,W06,P00632,2025-12-30,2026-01-26,delivered,XPO,9
SH00000205,O0001950,S0199,W01,P00658,2025-09-24,2025-10-04,delivered,FedEx,7
SH00000206,O0008555,S0179,W01,P00034,2025-10-28,2025-11-16,delivered,FedEx,8
SH00000207,O0016147,S0023,W05,P00162,2025-12-04,2025-12-18,delivered,XPO,9
SH00000208,O0005523,S0191,W07,P00040,2025-10-13,2025-10-16,delivered,FedEx,5
SH00000209,O0003067,S0069,W04,P00718,2026-01-28,,in_transit,XPO,8
SH00000210,O0005996,S0132,W06,P00278,2025-10-11,2025-10-29,delivered,DHL,3
SH00000211,O0011461,S0115,W06,P00445,2025-12-01,2025-12-08,delivered,DHL,20
SH00000212,O0009253,S0096,W06,P00614,2025-12-06,2025-12-19,delivered,XPO,11
SH00000213,O0011747,S0030,W06,P00790,2025-09-08,2025-09-22,delivered,Maersk,5
SH00000214,O0009049,S0049,W03,P00539,2025-11-16,2025-11-28,delivered,UPS,29
SH00000215,O0015287,S0063,W01,P00656,2026-01-24,2026-01-28,delivered,DHL,11
SH00000216,O0000974,S0176,W06,P00140,2025-11-24,2025-12-14,delivered,Maersk,6
SH00000217,O0008846,S0042,W07,P00529,2025-12-12,2025-12-17,delivered,UPS,3
SH00000218,O0013282,S0096,W06,P00295,2026-01-23,2026-02-07,delayed,USPS,16
SH00000219,O0019165,S0026,W03,P00403,2025-08-24,2025-09-20,delivered,XPO,15
SH00000220,O0012256,S0136,W01,P00343,2025-09-05,2025-10-01,delivered,FedEx,7
SH00000221,O0011844,S0005,W01,P00408,2025-10-15,2025-11-01,delivered,DHL,14
SH00000222,O0009429,S0101,W03,P00061,2025-10-04,2025-10-16,delivered,UPS,6
SH00000223,O0014562,S0119,W03,P00349,2025-09-04,2025-09-28,delivered,XPO,7
SH00000224,O0001264,S0083,W06,P00158,2025-09-11,2025-10-05,delivered,UPS,24
SH00000225,O0007439,S0090,W03,P00371,2026-01-12,2026-01-26,delivered,UPS,7
SH00000226,O0019401,S0052,W01,P00430,2025-12-06,2025-12-20,delivered,XPO,24
SH00000227,O0018786,S0119,W03,P00358,2026-01-28,2026-03-01,delayed,USPS,26
SH00000228,O0003610,S0143,W06,P00100,2025-10-10,2025-10-31,delivered,USPS,18
SH00000229,O0013324,S0170,W02,P00319,2025-08-17,2025-08-29,delivered,Maersk,4
SH00000230,O0016442,S0010,W04,P00571,2025-08-22,2025-09-14,delivered,Maersk,5
SH00000231,O0010080,S0026,W06,P00195,2026-02-11,2026-03-08,delivered,UPS,11
SH00000232,O0007973,S0117,W06,P00288,2026-02-07,2026-02-16,delivered,UPS,16
SH00000233,O0003453,S0113,W01,P00630,2025-09-05,2025-09-13,delivered,UPS,27
SH00000234,O0003813,S0148,W02,P00476,2025-12-14,2026-01-06,delivered,UPS,14
SH00000235,O0011621,S0106,W02,P00676,2026-02-03,2026-02-19,delivered,FedEx,1
SH00000236,O0002748,S0094,W06,P00449,2025-10-24,,in_transit,XPO,13
SH00000237,O0000009,S0158,W05,P00357,2025-12-09,2026-01-11,delayed,USPS,9
SH00000238,O0012211,S0125,W02,P00056,2026-01-11,2026-01-25,delivered,UPS,4
SH00000239,O0008859,S0158,W03,P00788,2025-12-01,,in_transit,Maersk,17
SH00000240,O0011478,S0167,W06,P00200,2025-08-27,2025-09-13,delivered,USPS,4
SH00000241,O0017557,S0120,W04,P00022,2025-08-24,2025-08-25,delivered,DHL,1
SH00000242,O0016127,S0028,W03,P00088,2025-12-06,2025-12-18,delivered,Maersk,4
SH00000243,O0010883,S0028,W01,P00078,2025-11-19,2025-12-04,delivered,XPO,3
SH00000244,O0017890,S0101,W08,P00061,2025-12-28,2026-01-07,delivered,USPS,8
SH00000245,O0000976,S0200,W03,P00033,2025-11-09,,in_transit,USPS,15
SH00000246,O0010680,S0123,W02,P00552,2025-12-01,2025-12-16,delivered,DHL,6
SH00000247,O0004130,S0158,W02,P00092,2026-01-22,2026-02-20,delivered,DHL,8
SH00000248,O0009729,S0005,W01,P00703,2025-12-25,2026-01-31,delayed,XPO,22
SH00000249,O0010887,S0083,W05,P00094,2025-10-24,2025-11-15,delivered,DHL,25
SH00000250,O0018963,S0187,W03,P00515,2025-12-27,2026-01-18,delayed,Maersk,20
SH00000251,O0013228,S0175,W03,P00746,2025-08-18,2025-09-06,delivered,FedEx,14
SH00000252,O0006516,S0151,W01,P00219,2025-12-21,2026-01-14,delayed,UPS,10
SH00000253,O0004165,S0176,W05,P00140,2025-08-23,2025-09-14,delayed,USPS,6
SH00000254,O0004674,S0097,W02,P00752,2025-12-07,2025-12-08,delivered,UPS,19
SH00000255,O0011133,S0121,W06,P00388,2026-02-05,2026-02-15,delivered,XPO,10
SH00000256,O0018716,S0168,W07,P00197,2026-01-04,,in_transit,USPS,13
SH00000257,O0008924,S0175,W05,P00746,2025-11-26,2025-12-19,delayed,FedEx,13
SH00000258,O0012190,S0037,W04,P00144,2025-10-25,2025-11-05,delivered,USPS,17
SH00000259,O0003008,S0164,W03,P00561,2025-09-27,2025-10-06,delivered,XPO,6
SH00000260,O0003070,S0150,W01,P00753,2025-09-17,,in_transit,Maersk,18
SH00000261,O0001292,S0039,W08,P00184,2026-01-31,2026-02-21,delivered,XPO,10
SH00000262,O0019316,S0151,W05,P00255,2025-09-01,2025-09-21,delivered,UPS,17
SH00000263,O0001385,S0050,W07,P00113,2026-01-16,,in_transit,UPS,9
SH00000264,O0017433,S0151,W04,P00219,2025-09-14,2025-10-06,delivered,XPO,3
SH00000265,O0008883,S0097,W02,P00314,2025-09-04,2025-09-18,delayed,DHL,1
SH00000266,O0004133,S0038,W03,P00210,2026-01-16,2026-02-03,delivered,USPS,8
SH00000267,O0001583,S0084,W04,P00506,2025-09-01,2025-09-12,delivered,XPO,4
SH00000268,O0003041,S0127,W08,P00252,2025-11-06,2025-12-06,delivered,XPO,16
SH00000269,O0001741,S0178,W07,P00438,2025-09-22,2025-10-17,delivered,Maersk,8
SH00000270,O0016399,S0083,W02,P00360,2025-12-29,2026-01-17,delivered,XPO,21
SH00000271,O0015587,S0070,W04,P00700,2025-09-05,2025-09-12,delivered,XPO,4
SH00000272,O0011823,S0118,W05,P00787,2025-11-06,2025-11-30,delivered,XPO,4
SH00000273,O0017300,S0077,W06,P00732,2025-12-12,2025-12-18,delivered,USPS,11
SH00000274,O0014210,S0118,W02,P00281,2026-01-24,2026-02-18,delayed,USPS,10
SH00000275,O0004812,S0041,W08,P00315,2026-01-15,2026-01-16,delivered,Maersk,11
SH00000276,O0015107,S0129,W07,P00481,2025-10-20,2025-11-10,delayed,FedEx,14
SH00000277,O0017263,S0153,W01,P00785,2025-08-24,2025-09-01,delivered,XPO,17
SH00000278,O0017202,S0121,W03,P00405,2025-09-24,2025-10-04,delivered,UPS,16
SH00000279,O0019848,S0022,W07,P00101,2025-08-18,2025-08-31,delivered,UPS,9
SH00000280,O0015570,S0050,W05,P00017,2025-08-30,2025-09-19,delivered,FedEx,32
SH00000281,O0017510,S0197,W06,P00480,2025-10-02,2025-10-15,delivered,DHL,6
SH00000282,O0010888,S0135,W03,P00640,2025-10-26,2025-11-19,delivered,DHL,2
SH00000283,O0019878,S0132,W05,P00508,2025-09-28,2025-10-18,delivered,UPS,18
SH00000284,O0019488,S0024,W01,P00264,2025-10-30,2025-11-29,delivered,XPO,12
SH00000285,O0018890,S0174,W07,P00229,2025-12-03,,cancelled,Maersk,17
SH00000286,O0008148,S0074,W04,P00553,2026-02-09,2026-03-02,delayed,DHL,6
SH00000287,O0017823,S0132,W02,P00508,2025-10-12,2025-11-03,delivered,USPS,23
SH00000288,O0016366,S0100,W06,P00420,2025-09-29,2025-10-15,delivered,UPS,15
SH00000289,O0016823,S0030,W05,P00174,2025-10-13,2025-10-31,delivered,Maersk,1
SH00000290,O0013479,S0095,W01,P00435,2025-09-07,2025-09-08,delivered,USPS,9
SH00000291,O0011943,S0192,W06,P00594,2025-08-19,,in_transit,USPS,2
SH00000292,O0011490,S0095,W05,P00254,2025-09-13,2025-09-16,delivered,XPO,1
SH00000293,O0007540,S0186,W01,P00670,2025-11-06,2025-11-27,delivered,DHL,18
SH00000294,O0001395,S0072,W08,P00780,2025-09-19,2025-10-12,delivered,DHL,4
SH00000295,O0001836,S0193,W04,P00054,2025-08-18,2025-09-10,delivered,USPS,15
SH00000296,O0019510,S0023,W02,P00162,2025-11-14,2025-11-26,delivered,DHL,6
SH00000297,O0017243,S0017,W01,P00368,2025-10-09,2025-10-22,delivered,XPO,18
SH00000298,O0015520,S0151,W06,P00255,2025-09-23,2025-10-13,delivered,Maersk,5
SH00000299,O0008415,S0142,W01,P00714,2025-12-29,2026-01-02,delivered,Maersk,19
SH00000300,O0008671,S0123,W03,P00566,2026-02-11,,in_transit,XPO,26
SH00000301,O0015422,S0068,W08,P00275,2025-10-12,2025-10-30,delivered,UPS,13
SH00000302,O0009164,S0033,W06,P00486,2025-11-26,2025-12-10,delivered,USPS,8
SH00000303,O0001419,S0197,W01,P00326,2025-10-24,2025-11-05,delivered,USPS,4
