order_id,order_date,warehouse_id,product_id,supplier_id,order_qty,order_value_usd
O0000040,2025-09-14,W07,P00711,S0020,12,1037.64
O0000041,2025-09-17,W08,P00073,S0062,12,399.6
O0000042,2025-09-10,W02,P00321,S0089,14,1520.68
O0000043,2025-11-17,W05,P00141,S0161,3,444.81
O0000044,2025-09-18,W03,P00071,S0194,19,184.3
O0000045,2025-12-28,W01,P00625,S0009,8,1622.0
O0000046,2025-10-08,W03,P00422,S0065,6,1123.98
O0000047,2026-01-19,W08,P00223,S0148,14,1055.32
O0000048,2025-09-15,W07,P00360,S0083,13,1976.52
O0000049,2025-12-02,W06,P00144,S0037,12,236.52
O0000050,2025-10-17,W05,P00798,S0099,20,4820.6
O0000051,2026-02-07,W01,P00675,S0172,14,196.42
O0000052,2026-01-17,W04,P00766,S0030,9,1873.53
O0000053,2025-11-23,W05,P00662,S0195,24,5046.0
O0000054,2025-10-15,W08,P00396,S0073,16,364.8
O0000055,2025-09-12,W04,P00512,S0013,10,717.8
O0000056,2025-08-18,W06,P00325,S0002,10,527.0
O0000057,2025-09-17,W07,P00583,S0103,5,839.9
O0000058,2025-09-28,W08,P00789,S0081,15,468.45
O0000059,2025-09-02,W01,P00602,S0084,16,3422.56
O0000060,2025-08-25,W01,P00408,S0005,13,851.11
O0000061,2025-12-22,W05,P00644,S0182,9,340.2
O0000062,2025-12-01,W07,P00085,S0137,2,216.48
O0000063,2026-01-25,W03,P00285,S0021,14,1146.32
O0000064,2025-10-06,W03,P00550,S0077,13,2512.25
O0000065,2025-11-06,W07,P00601,S0147,4,540.36
O0000066,2026-02-05,W02,P00318,S0173,3,66.69
O0000067,2026-02-09,W07,P00748,S0113,16,3197.28
O0000068,2025-10-16,W02,P00445,S0115,10,125.0
O0000069,2025-09-13,W08,P00627,S0062,7,371.77
O0000070,2026-01-30,W03,P00123,S0048,8,1931.52
O0000071,2025-08-18,W03,P00719,S0190,19,1873.97
O0000072,2025-11-11,W05,P00171,S0032,12,109.92
O0000073,2025-11-18,W03,P00768,S0053,12,1574.88
O0000074,2025-09-14,W01,P00344,S0090,7,1276.73
O0000075,2025-12-02,W05,P00537,S0038,20,4115.4
O0000076,2026-01-09,W02,P00509,S0128,15,116.25
O0000077,2025-12-09,W06,P00057,S0125,4,36.8
O0000078,2025-11-17,W03,P00262,S0016,12,1208.88
O0000079,2025-09-10,W02,P00234,S0192,11,1155.44
O0000080,2025-08-18,W04,P00048,S0017,11,1153.79
O0000081,2025-12-13,W06,P00393,S0065,15,224.1
O0000082,2025-08-24,W07,P00230,S0161,10,261.0
O0000083,2025-11-05,W04,P00427,S0179,16,1930.88
O0000084,2025-09-03,W06,P00123,S0048,9,2172.96
O0000085,2025-12-21,W01,P00184,S0039,13,1465.62
O0000086,2025-08-26,W07,P00071,S0194,19,184.3
O0000087,2025-12-12,W05,P00793,S0125,14,2234.4
O0000088,2026-01-03,W08,P00009,S0099,7,1575.56
O0000089,2025-11-17,W04,P00299,S0172,7,226.17
O0000090,2026-01-21,W04,P00476,S0148,10,202.9
O0000091,2025-11-17,W08,P00792,S0148,13,1263.08
O0000092,2026-01-01,W04,P00155,S0072,2,94.02
O0000093,2025-08-16,W07,P00025,S0024,12,2459.64
O0000094,2026-02-08,W01,P00344,S0090,17,3100.63
O0000095,2025-08-15,W07,P00756,S0028,11,2119.7
O0000096,2025-12-28,W04,P00430,S0052,9,1995.12
O0000097,2025-12-18,W01,P00146,S0113,11,361.24
O0000098,2025-10-13,W07,P00718,S0069,9,362.25
O0000099,2025-11-18,W08,P00766,S0030,14,2914.38
O0000100,2025-09-18,W07,P00077,S0200,13,2667.47
O0000101,2026-01-13,W01,P00446,S0158,10,2495.4
O0000102,2025-10-28,W05,P00323,S0135,9,1507.05
O0000103,2025-11-23,W06,P00326,S0197,7,252.21
O0000104,2025-10-05,W03,P00799,S0105,13,2233.4
O0000105,2026-01-11,W02,P00160,S0074,17,2827.44
O0000106,2025-11-03,W07,P00124,S0123,16,484.64
O0000107,2025-12-30,W06,P00789,S0081,13,405.99
O0000108,2025-10-21,W02,P00093,S0120,16,1760.32
O0000109,2025-09-24,W05,P00722,S0027,11,383.46
O0000110,2025-11-06,W03,P00094,S0083,10,2132.2
O0000111,2025-10-17,W06,P00406,S0195,3,530.91
O0000112,2025-10-20,W03,P00032,S0193,11,2369.29
O0000113,2025-11-26,W08,P00570,S0045,11,1162.04
O0000114,2025-12-11,W02,P00144,S0037,7,137.97
O0000115,2025-09-15,W01,P00064,S0098,20,1663.6
O0000116,2025-09-17,W04,P00411,S0078,1,32.22
O0000117,2025-11-18,W02,P00597,S0196,1,63.37
O0000118,2025-09-03,W01,P00067,S0065,5,1045.3
O0000119,2025-10-04,W08,P00132,S0157,21,5042.31
O0000120,2025-11-07,W02,P00044,S0020,18,3221.28
O0000121,2025-12-11,W01,P00173,S0142,17,1754.06
O0000122,2025-11-24,W08,P00031,S0103,9,562.59
O0000123,2025-11-20,W07,P00177,S0107,4,836.04
O0000124,2025-10-24,W05,P00457,S0102,22,1759.34
O0000125,2025-09-22,W01,P00629,S0063,8,1485.2
O0000126,2025-10-29,W08,P00422,S0065,8,1498.64
O0000127,2026-01-02,W08,P00063,S0119,17,800.19
O0000128,2025-11-30,W04,P00659,S0137,15,2443.2
O0000129,2025-12-27,W04,P00646,S0143,19,2535.36
O0000130,2025-08-19,W07,P00731,S0043,11,1207.8
O0000131,2025-11-14,W08,P00558,S0138,13,900.12
O0000132,2026-01-06,W06,P00398,S0112,6,148.44
O0000133,2025-10-23,W03,P00027,S0038,10,80.6
O0000134,2025-10-25,W01,P00484,S0089,15,3554.7
O0000135,2025-12-28,W06,P00786,S0151,8,242.64
O0000136,2025-09-24,W02,P00254,S0095,9,1514.52
O0000137,2026-01-30,W04,P00273,S0034,1,5.69
O0000138,2025-08-29,W04,P00590,S0079,9,374.49
O0000139,2025-11-22,W06,P00178,S0063,15,1729.2
O0000140,2026-02-09,W06,P00606,S0117,19,2695.15
O0000141,2025-08-22,W06,P00582,S0110,4,519.16
O0000142,2025-10-02,W08,P00556,S0089,8,1849.2
O0000143,2025-11-02,W03,P00503,S0116,13,825.24
O0000144,2026-01-16,W04,P00021,S0074,12,649.56
O0000145,2025-12-27,W08,P00001,S0072,7,1514.52
O0000146,2025-09-17,W06,P00735,S0118,19,542.07
O0000147,2025-09-29,W06,P00061,S0101,19,2827.01
O0000148,2025-09-20,W02,P00539,S0049,13,87.1
O0000149,2025-11-16,W02,P00383,S0047,9,1873.53
O0000150,2026-01-12,W02,P00345,S0061,3,82.5
O0000151,2025-10-31,W06,P00140,S0176,21,1257.69
O0000152,2025-12-04,W08,P00665,S0005,10,666.7
O0000153,2025-11-04,W03,P00725,S0142,21,526.68
O0000154,2026-01-19,W06,P00229,S0174,10,1893.8
O0000155,2026-02-01,W03,P00388,S0121,8,1809.52
O0000156,2025-09-16,W03,P00747,S0187,20,2329.6
O0000157,2025-08-15,W07,P00790,S0030,13,616.2
O0000158,2026-01-16,W06,P00627,S0062,11,584.21
O0000159,2025-10-10,W02,P00509,S0128,18,139.5
O0000160,2025-10-14,W06,P00328,S0128,19,3557.94
O0000161,2025-09-26,W02,P00726,S0099,7,35.42
O0000162,2025-11-08,W08,P00012,S0094,3,326.88
O0000163,2025-10-21,W04,P00256,S0107,10,1644.2
O0000164,2025-09-11,W01,P00050,S0053,6,1251.36
O0000165,2025-11-21,W08,P00751,S0169,8,321.84
O0000166,2025-11-28,W08,P00388,S0121,13,2940.47
O0000167,2025-11-12,W07,P00104,S0115,17,3377.05
O0000168,2026-01-09,W04,P00167,S0160,2,379.2
O0000169,2025-12-08,W02,P00035,S0143,10,638.0
O0000170,2025-09-10,W02,P00351,S0161,17,1366.8
O0000171,2025-09-27,W07,P00165,S0169,11,2393.6
O0000172,2025-09-07,W06,P00609,S0191,4,224.16
O0000173,2026-01-19,W08,P00722,S0027,26,906.36
O0000174,2025-09-26,W07,P00161,S0195,14,1937.88
O0000175,2025-08-28,W02,P00340,S0102,13,2832.57
O0000176,2026-02-09,W05,P00677,S0018,15,2660.7
O0000177,2025-10-26,W05,P00244,S0117,16,1494.56
O0000178,2026-01-02,W08,P00158,S0083,15,2522.85
O0000179,2025-08-28,W06,P00004,S0008,7,214.2
O0000180,2026-01-31,W08,P00205,S0059,14,2620.8
O0000181,2025-09-08,W01,P00212,S0044,14,635.88
O0000182,2025-09-04,W08,P00119,S0142,16,1191.2
O0000183,2025-11-01,W07,P00483,S0043,3,126.51
O0000184,2025-09-07,W07,P00190,S0181,12,2742.36
O0000185,2025-11-17,W07,P00379,S0040,12,253.68
O0000186,2025-12-05,W08,P00270,S0071,13,2793.44
O0000187,2025-10-11,W05,P00578,S0166,21,1381.8
O0000188,2026-02-01,W02,P00088,S0028,15,1642.65
O0000189,2026-02-02,W06,P00555,S0075,3,37.29
O0000190,2025-10-12,W01,P00397,S0070,17,1928.31
O0000191,2025-12-26,W07,P00549,S0072,6,842.46
O0000192,2026-01-08,W04,P00488,S0044,1,165.37
O0000193,2025-10-30,W02,P00405,S0121,19,3317.97
O0000194,2025-12-21,W03,P00124,S0123,6,181.74
O0000195,2025-12-07,W03,P00172,S0182,22,908.16
O0000196,2025-09-16,W01,P00434,S0168,10,843.2
O0000197,2025-09-04,W07,P00207,S0114,20,865.2
O0000198,2026-01-14,W05,P00328,S0128,11,2059.86
O0000199,2025-09-01,W02,P00398,S0112,4,98.96
O0000200,2025-10-24,W08,P00013,S0160,9,718.65
O0000201,2026-02-10,W07,P00116,S0059,9,823.5
O0000202,2026-01-12,W02,P00109,S0091,13,2292.03
O0000203,2026-01-06,W02,P00293,S0103,20,2103.4
O0000204,2025-11-28,W05,P00393,S0065,2,29.88
O0000205,2026-01-29,W08,P00586,S0115,10,1889.3
O0000206,2025-10-24,W07,P00148,S0129,10,1359.2
O0000207,2026-01-20,W07,P00040,S0191,2,431.3
O0000208,2026-02-07,W04,P00051,S0198,19,2790.15
O0000209,2025-12-14,W05,P00382,S0153,22,2099.46
O0000210,2025-10-31,W05,P00288,S0117,13,1655.94
O0000211,2025-12-18,W02,P00234,S0192,22,2310.88
O0000212,2025-12-06,W06,P00276,S0135,24,724.56
O0000213,2025-11-29,W02,P00193,S0129,1,241.41
O0000214,2025-11-27,W08,P00778,S0116,16,2381.92
O0000215,2025-12-25,W06,P00058,S0172,8,1363.44
O0000216,2025-11-02,W07,P00139,S0180,11,2366.98
O0000217,2025-12-27,W01,P00178,S0063,15,1729.2
O0000218,2025-08-29,W04,P00034,S0179,22,2869.9
O0000219,2025-12-09,W01,P00370,S0086,10,222.1
O0000220,2025-12-11,W07,P00651,S0019,7,340.62
O0000221,2025-09-15,W01,P00248,S0157,6,341.4
O0000222,2025-09-29,W08,P00601,S0147,17,2296.53
O0000223,2026-01-03,W06,P00353,S0071,18,2676.06
O0000224,2026-02-07,W02,P00292,S0106,22,1893.32
O0000225,2025-08-22,W07,P00051,S0198,16,2349.6
O0000226,2025-10-08,W04,P00663,S0095,18,1432.8
O0000227,2025-10-11,W04,P00276,S0135,7,211.33
O0000228,2026-02-05,W01,P00486,S0033,6,942.06
O0000229,2025-09-17,W03,P00616,S0097,13,284.7
O0000230,2026-01-17,W05,P00730,S0069,7,870.03
O0000231,2026-01-26,W05,P00434,S0168,21,1770.72
O0000232,2025-12-10,W05,P00224,S0006,4,978.12
O0000233,2025-12-12,W05,P00694,S0142,3,360.15
O0000234,2026-01-11,W02,P00008,S0112,10,1523.4
O0000235,2025-12-23,W06,P00575,S0035,7,1491.42
O0000236,2025-10-30,W02,P00494,S0124,5,313.65
O0000237,2025-08-31,W06,P00284,S0183,4,910.44
O0000238,2025-10-20,W05,P00193,S0129,2,482.82
O0000239,2025-09-22,W04,P00059,S0186,15,643.95
O0000240,2026-01-15,W07,P00677,S0018,1,177.38
O0000241,2025-11-04,W03,P00739,S0077,18,1467.36
O0000242,2025-10-29,W05,P00429,S0010,13,972.01
O0000243,2025-11-26,W07,P00755,S0180,21,4705.68
O0000244,2026-01-08,W04,P00352,S0018,14,1656.06
O0000245,2025-10-10,W08,P00688,S0069,8,1593.12
O0000246,2025-09-27,W03,P00301,S0185,15,221.4
O0000247,2025-09-08,W08,P00132,S0157,11,2641.21
O0000248,2026-01-05,W03,P00697,S0145,2,488.76
O0000249,2025-11-08,W02,P00228,S0057,5,799.4
O0000250,2025-11-01,W07,P00340,S0102,19,4139.91
O0000251,2025-11-18,W05,P00600,S0016,8,1660.32
O0000252,2025-12-13,W01,P00650,S0014,23,1577.34
O0000253,2026-01-11,W02,P00484,S0089,17,4028.66
O0000254,2026-02-05,W07,P00543,S0133,7,373.94
O0000255,2025-10-30,W07,P00056,S0125,14,789.88
O0000256,2025-10-05,W06,P00420,S0100,9,1967.31
O0000257,2026-01-07,W08,P00147,S0180,8,814.56
O0000258,2025-09-04,W08,P00341,S0057,20,1692.0
O0000259,2026-01-23,W03,P00321,S0089,11,1194.82
O0000260,2025-10-24,W04,P00780,S0072,11,2074.38
O0000261,2025-09-27,W03,P00502,S0062,14,1647.66
O0000262,2025-09-17,W07,P00649,S0095,1,24.93
O0000263,2025-12-02,W07,P00440,S0111,17,2573.97
O0000264,2025-08-24,W04,P00749,S0105,10,1689.0
O0000265,2025-11-18,W01,P00330,S0129,12,1686.72
O0000266,2025-08-19,W01,P00642,S0048,4,756.4
O0000267,2025-10-17,W04,P00711,S0020,15,1297.05
O0000268,2025-09-10,W07,P00516,S0094,8,105.76
O0000269,2026-01-12,W05,P00172,S0182,13,536.64
O0000270,2025-10-28,W08,P00746,S0175,12,2308.44
O0000271,2025-12-26,W06,P00445,S0115,27,337.5
O0000272,2025-11-10,W08,P00368,S0017,1,83.76
O0000273,2025-10-02,W03,P00414,S0153,16,2159.04
O0000274,2025-09-17,W04,P00752,S0097,12,244.08
O0000275,2025-08-20,W03,P00127,S0022,6,1490.94
O0000276,2025-08-24,W07,P00656,S0063,18,3141.36
O0000277,2025-10-19,W01,P00609,S0191,20,1120.8
O0000278,2026-01-29,W01,P00050,S0053,11,2294.16
O0000279,2026-02-07,W02,P00427,S0179,9,1086.12
O0000280,2025-10-18,W08,P00719,S0190,13,1282.19
O0000281,2025-09-23,W04,P00712,S0199,11,912.34
O0000282,2025-11-30,W02,P00679,S0016,11,1707.42
O0000283,2025-12-26,W05,P00638,S0161,9,1532.97
O0000284,2025-09-10,W02,P00290,S0168,9,1470.87
O0000285,2025-09-13,W02,P00510,S0130,13,1500.07
O0000286,2025-10-21,W04,P00367,S0174,15,2254.2
O0000287,2026-02-11,W07,P00303,S0148,16,2045.44
O0000288,2025-10-07,W08,P00339,S0112,18,2664.72
O0000289,2025-10-14,W01,P00014,S0185,5,1126.05
O0000290,2026-01-08,W08,P00153,S0148,1,11.98
O0000291,2025-09-07,W02,P00741,S0082,9,668.52
O0000292,2026-01-26,W04,P00468,S0041,1,178.53
O0000293,2025-10-29,W05,P00476,S0148,22,446.38
O0000294,2025-08-25,W05,P00369,S0073,15,967.35
O0000295,2026-02-04,W06,P00437,S0087,11,2678.28
O0000296,2025-08-26,W01,P00142,S0109,9,274.14
O0000297,2026-01-31,W03,P00337,S0177,7,1610.7
O0000298,2026-01-21,W05,P00751,S0169,17,683.91
O0000299,2025-09-07,W06,P00351,S0161,14,1125.6
O0000300,2025-12-09,W05,P00395,S0183,17,3600.26
O0000301,2026-02-07,W08,P00432,S0065,5,55.4
O0000302,2025-09-12,W03,P00713,S0116,3,371.01
O0000303,2025-08-30,W03,P00107,S0122,5,696.3
O0000304,2026-01-07,W08,P00186,S0117,16,3733.6
O0000305,2026-01-18,W07,P00798,S0099,11,2651.33
O0000306,2026-02-06,W03,P00495,S0077,13,1488.24
O0000307,2025-12-17,W02,P00422,S0065,9,1685.97
O0000308,2026-01-29,W06,P00013,S0160,12,958.2
O0000309,2026-02-11,W04,P00686,S0135,17,661.81
O0000310,2026-02-07,W02,P00444,S0043,6,1038.36
O0000311,2026-01-31,W04,P00494,S0124,6,376.38
O0000312,2025-11-21,W03,P00572,S0127,19,915.99
O0000313,2026-01-18,W01,P00012,S0094,9,980.64
O0000314,2025-12-13,W08,P00170,S0113,9,1984.05
O0000315,2025-09-03,W08,P00329,S0034,12,1155.48
O0000316,2025-08-27,W04,P00564,S0002,27,6512.4
O0000317,2026-01-26,W07,P00413,S0017,12,353.88
O0000318,2025-12-06,W08,P00091,S0188,9,1182.51
O0000319,2025-12-20,W08,P00324,S0057,17,1700.51
O0000320,2026-01-29,W01,P00106,S0079,16,2666.56
O0000321,2025-11-26,W07,P00037,S0171,11,1470.92
O0000322,2025-09-07,W05,P00521,S0033,11,2682.02
O0000323,2026-01-05,W04,P00671,S0118,5,218.6
O0000324,2025-11-16,W01,P00229,S0174,1,189.38
O0000325,2025-12-09,W06,P00574,S0086,12,870.84
O0000326,2026-01-30,W06,P00734,S0185,3,471.03
O0000327,2025-12-08,W02,P00100,S0143,12,54.24
O0000328,2025-11-10,W06,P00649,S0095,7,174.51
O0000329,2025-10-28,W06,P00719,S0190,22,2169.86
O0000330,2025-12-19,W03,P00735,S0118,19,542.07
O0000331,2025-11-27,W02,P00261,S0140,9,2030.58
O0000332,2025-11-23,W04,P00469,S0093,9,1153.53
O0000333,2025-10-02,W06,P00111,S0185,12,597.12
O0000334,2026-01-24,W02,P00791,S0131,10,983.4
O0000335,2025-12-08,W08,P00675,S0172,5,70.15
O0000336,2025-12-20,W01,P00544,S0170,8,965.12
O0000337,2025-08-27,W07,P00600,S0016,4,830.16
O0000338,2025-09-29,W03,P00749,S0105,12,2026.8
O0000339,2025-09-16,W02,P00397,S0070,7,794.01
O0000340,2025-11-05,W07,P00429,S0010,5,373.85
O0000341,2026-01-17,W04,P00281,S0118,7,1130.85
O0000342,2025-10-29,W08,P00137,S0177,15,2239.05
O0000343,2025-09-19,W07,P00617,S0168,8,1722.8
O0000344,2025-10-30,W06,P00729,S0044,2,72.86
O0000345,2026-01-03,W04,P00206,S0026,14,2667.98
O0000346,2026-02-06,W06,P00689,S0096,21,5038.11
O0000347,2025-09-17,W03,P00516,S0094,3,39.66
O0000348,2025-09-13,W06,P00576,S0070,9,448.38
O0000349,2025-12-15,W07,P00691,S0077,11,1888.04
O0000350,2025-10-27,W07,P00014,S0185,1,225.21
O0000351,2025-12-26,W02,P00026,S0173,10,789.8
O0000352,2025-08-29,W04,P00274,S0151,13,1069.9
O0000353,2025-09-25,W05,P00700,S0070,11,149.05
O0000354,2026-02-07,W05,P00209,S0076,23,2090.7
O0000355,2025-12-31,W01,P00368,S0017,13,1088.88
O0000356,2026-02-03,W04,P00761,S0057,9,1157.85
O0000357,2026-01-27,W07,P00244,S0117,1,93.41
O0000358,2026-02-09,W05,P00710,S0014,11,288.53
O0000359,2026-02-01,W01,P00391,S0129,1,132.81
O0000360,2026-02-06,W06,P00566,S0123,21,3429.93
O0000361,2025-08-28,W01,P00762,S0115,11,1042.58
O0000362,2025-12-06,W04,P00649,S0095,20,498.6
O0000363,2026-02-11,W06,P00774,S0142,3,125.13
O0000364,2025-10-04,W04,P00302,S0154,6,476.94
O0000365,2025-12-07,W03,P00700,S0070,25,338.75
O0000366,2025-12-24,W02,P00387,S0060,18,2419.74
O0000367,2025-08-25,W07,P00286,S0017,9,299.7
O0000368,2026-01-11,W05,P00006,S0010,10,288.8
O0000369,2025-11-07,W08,P00727,S0100,13,2537.99
O0000370,2025-11-05,W01,P00793,S0125,11,1755.6
O0000371,2026-01-22,W05,P00503,S0116,13,825.24
O0000372,2025-09-02,W06,P00539,S0049,4,26.8
O0000373,2025-10-10,W03,P00534,S0153,18,2154.6
O0000374,2025-11-29,W07,P00095,S0072,14,3088.96
O0000375,2025-11-12,W04,P00219,S0151,9,685.71
O0000376,2025-10-29,W04,P00771,S0182,7,213.78
O0000377,2026-01-20,W08,P00575,S0035,19,4048.14
O0000378,2025-08-17,W02,P00685,S0046,1,28.54
O0000379,2025-11-11,W08,P00247,S0007,18,2801.7
O0000380,2026-01-21,W04,P00041,S0067,7,1319.08
O0000381,2026-02-05,W06,P00391,S0129,24,3187.44
O0000382,2025-11-21,W05,P00554,S0102,4,819.84
O0000383,2025-10-26,W01,P00530,S0152,14,1195.88
O0000384,2025-12-23,W08,P00499,S0188,6,1482.18
O0000385,2025-08-26,W05,P00668,S0128,14,1939.84
O0000386,2025-09-08,W03,P00792,S0148,18,1748.88
O0000387,2025-12-30,W01,P00642,S0048,20,3782.0
O0000388,2025-10-08,W07,P00107,S0122,15,2088.9
O0000389,2025-10-06,W07,P00663,S0095,12,955.2
O0000390,2026-02-06,W03,P00025,S0024,9,1844.73
O0000391,2025-12-10,W06,P00039,S0141,13,1463.67
O0000392,2025-10-18,W02,P00589,S0016,13,2178.93
O0000393,2025-10-12,W05,P00418,S0135,5,1218.55
O0000394,2025-12-03,W06,P00018,S0174,17,3188.18
O0000395,2025-11-22,W02,P00548,S0157,21,2563.68
O0000396,2025-08-31,W01,P00718,S0069,12,483.0
O0000397,2025-09-02,W06,P00515,S0187,20,1854.2
O0000398,2025-10-31,W02,P00289,S0026,18,3576.42
O0000399,2025-12-05,W07,P00405,S0121,12,2095.56
O0000400,2025-09-24,W04,P00140,S0176,10,598.9
O0000401,2025-11-23,W05,P00650,S0014,17,1165.86
O0000402,2026-01-27,W06,P00012,S0094,19,2070.24
O0000403,2026-01-03,W03,P00127,S0022,19,4721.31
O0000404,2025-11-23,W02,P00313,S0024,14,2618.56
O0000405,2025-10-07,W06,P00217,S0074,4,680.2
O0000406,2025-12-24,W03,P00165,S0169,16,3481.6
O0000407,2025-10-01,W04,P00632,S0036,14,1777.58
O0000408,2025-09-30,W01,P00770,S0082,8,149.28
O0000409,2026-01-02,W08,P00661,S0120,7,185.15
O0000410,2025-09-01,W05,P00101,S0022,10,618.6
O0000411,2025-10-04,W08,P00339,S0112,6,888.24
O0000412,2025-10-14,W02,P00292,S0106,18,1549.08
O0000413,2026-01-20,W02,P00199,S0087,9,1409.13
O0000414,2026-01-19,W05,P00711,S0020,17,1469.99
O0000415,2026-01-11,W03,P00580,S0146,2,338.5
O0000416,2025-12-02,W03,P00005,S0046,7,1021.93
O0000417,2025-11-03,W04,P00227,S0199,9,1801.08
O0000418,2025-10-24,W06,P00138,S0009,3,178.23
O0000419,2026-02-04,W06,P00492,S0159,6,962.82
O0000420,2025-11-01,W08,P00565,S0105,13,2130.96
O0000421,2025-09-11,W03,P00662,S0195,2,420.5
O0000422,2025-09-19,W04,P00270,S0071,4,859.52
O0000423,2026-01-22,W02,P00745,S0152,13,3241.16
O0000424,2025-12-22,W01,P00596,S0194,12,1623.6
O0000425,2026-01-10,W07,P00788,S0158,1,148.36
O0000426,2026-01-03,W05,P00557,S0192,5,604.05
O0000427,2025-12-31,W08,P00670,S0186,12,1933.68
O0000428,2025-10-11,W05,P00138,S0009,6,356.46
O0000429,2025-12-11,W02,P00407,S0158,11,36.3
O0000430,2025-10-15,W03,P00776,S0162,12,572.88
O0000431,2025-12-24,W03,P00457,S0102,16,1279.52
O0000432,2026-01-06,W03,P00754,S0140,18,200.16
O0000433,2025-12-16,W06,P00042,S0197,13,2533.18
O0000434,2025-08-31,W05,P00379,S0040,18,380.52
O0000435,2025-10-13,W01,P00685,S0046,15,428.1
O0000436,2025-11-15,W07,P00481,S0129,24,5468.64
O0000437,2025-12-09,W01,P00041,S0067,17,3203.48
O0000438,2026-02-11,W05,P00760,S0028,11,50.82
O0000439,2025-10-21,W03,P00386,S0114,8,1227.44
O0000440,2026-01-29,W02,P00530,S0152,7,597.94
O0000441,2025-10-18,W07,P00229,S0174,6,1136.28
O0000442,2025-11-11,W08,P00494,S0124,11,690.03
O0000443,2026-01-16,W01,P00514,S0111,16,563.52
O0000444,2025-10-12,W02,P00527,S0133,7,807.31
O0000445,2026-01-26,W05,P00217,S0074,14,2380.7
O0000446,2026-01-16,W02,P00677,S0018,14,2483.32
O0000447,2025-10-12,W07,P00339,S0112,10,1480.4
O0000448,2025-12-15,W08,P00216,S0171,5,21.65
O0000449,2026-01-13,W03,P00663,S0095,12,955.2
O0000450,2025-08-26,W03,P00588,S0067,10,1641.1
O0000451,2026-01-13,W03,P00138,S0009,10,594.1
O0000452,2026-01-08,W03,P00058,S0172,10,1704.3
O0000453,2025-09-26,W05,P00185,S0089,5,422.25
O0000454,2026-01-06,W01,P00737,S0159,11,1058.31
O0000455,2026-01-31,W05,P00088,S0028,13,1423.63
O0000456,2025-12-13,W08,P00175,S0166,20,4167.4
O0000457,2025-10-10,W07,P00616,S0097,16,350.4
O0000458,2025-09-30,W05,P00172,S0182,18,743.04
O0000459,2026-02-06,W06,P00465,S0023,10,2030.1
O0000460,2025-11-19,W07,P00136,S0041,10,26.6
O0000461,2025-09-11,W01,P00208,S0008,1,13.41
O0000462,2026-02-06,W07,P00154,S0121,10,1307.0
O0000463,2026-01-17,W02,P00182,S0001,3,216.42
O0000464,2025-08-24,W02,P00096,S0193,13,1524.25
O0000465,2025-12-16,W03,P00618,S0046,11,2730.53
O0000466,2026-02-04,W07,P00535,S0185,11,162.14
O0000467,2025-11-30,W06,P00045,S0070,9,767.61
O0000468,2025-12-16,W07,P00359,S0116,5,1137.2
O0000469,2026-01-12,W02,P00436,S0191,16,1776.8
O0000470,2025-10-13,W02,P00291,S0111,17,1937.83
O0000471,2026-01-15,W07,P00264,S0024,15,2495.55
